Order_ID,Customer_Name,Product,Category,Quantity,Price,Order_Date,Shipped,Country
1,Eric Allen,Jacket,Clothing,5,582.8,2026-10-07,Yes,Sweden
2,Dana Williams,Stapler,Stationery,1,202.96,2025-01-28,Yes,Uk
3,Melinda Shelton,T-Shirt,Clothing,5,1093.4,2024-08-18,No,India
4,Jessica Horton,Standing Desk,Furniture,10,363.78,2025-01-31,No,South Korea
5,Melissa Simmons,Bread,Food & Beverage,15,1388.6,2025-08-03,No,Brazil
6,Lisa Houston,Webcam,Electronics,7,1938.06,2025-04-26,Yes,Japan
7,Dawn Graves,Eraser,Stationery,5,1173.05,2024-12-03,No,South Africa
8,Dave Velasquez,Scarf,Clothing,13,272.35,2025-10-19,No,Uk
9,Monique Murray,Ruler,Stationery,1,803.87,2026-01-06,No,South Africa
10,James Pollard,Keyboard,Electronics,11,2349.55,2026-10-02,Yes,United States
11,Dominic Cook,Office Chair,Furniture,4,109.13,2026-02-12,Yes,China
12,Matthew Anderson,Desk Lamp,Furniture,14,1388.02,2024-05-26,Yes,South Africa
13,Michael Porter,Juice,Food & Beverage,4,103.8,2026-09-04,No,China
14,Marie Poole,Bed,Furniture,14,1622.18,2024-11-10,Yes,Spain
15,Sarah Fox,Hat,Clothing,6,1201.32,2026-09-14,Yes,Uae
16,Gregory Perez,T-Shirt,Clothing,3,432.32,2025-12-12,No,Spain
17,Sherry Brennan,Pencil,Stationery,1,784.05,2026-03-12,Yes,South Africa
18,Manuel Ibarra,Notebook,Stationery,11,672.27,2025-10-11,Yes,Australia
19,Henry Stevens,Monitor,Electronics,9,896.42,2025-06-06,Yes,Spain
20,Molly Giles,Laptop,Electronics,2,1099.55,2024-09-15,Yes,Mexico
21,Deborah Lopez,Office Chair,Furniture,7,32.23,2025-07-08,Yes,Sweden
22,Russell Walker,Mouse,Electronics,10,1617.51,2026-12-26,Yes,Italy
23,Beverly Walsh,Desk Lamp,Furniture,14,800.3,2026-01-28,Yes,United States
24,Andrea Arroyo,Ruler,Stationery,5,1671.76,2024-02-12,No,United States
25,Nicole Campbell,Green Tea,Food & Beverage,14,306.59,2026-04-22,No,Singapore
26,Arthur Edwards,Bottled Water,Food & Beverage,8,84.05,2024-04-08,No,Germany
27,Jacqueline Carter,Pen,Stationery,9,1461.41,2025-05-16,Yes,Singapore
28,Parker Harris,Desk Lamp,Furniture,14,1649.57,2024-02-01,Yes,France
29,Monica Kerr,Ruler,Stationery,4,2028.42,2025-06-08,No,Australia
30,Michelle Bishop,Mouse,Electronics,10,1881.76,2025-02-18,No,Italy
31,Mercedes Lawson,Dining Table,Furniture,10,278.36,2026-04-18,Yes,Italy
32,Douglas Ortega,Laptop,Electronics,3,618.72,2026-05-23,Yes,Australia
33,Sophia Yoder,Pencil,Stationery,1,2405.67,2024-10-13,Yes,Uk
34,Brenda Ramirez,Dining Table,Furniture,8,869.7,2024-05-25,Yes,South Korea
35,John Allen,Snack Bar,Food & Beverage,11,377.11,2025-04-11,No,Spain
36,Shawn Miller,Juice,Food & Beverage,3,42.94,2026-12-09,Yes,Argentina
37,Hannah Terry,Green Tea,Food & Beverage,15,2327.04,2025-05-01,Yes,India
38,Natalie Jones,Notebook,Stationery,15,1581.25,2024-04-22,Yes,India
39,Kathleen Dominguez,Glue Stick,Stationery,10,2331.64,2024-11-15,No,South Korea
40,Bradley Reynolds,Dining Table,Furniture,15,1620.39,2025-01-17,Yes,Brazil
41,Sydney Hall,Pen,Stationery,4,1683.9,2026-12-25,Yes,Uae
42,Ashley Myers,Tablet,Electronics,4,793.26,2024-07-16,Yes,Uae
43,Louis Garcia,Snack Bar,Food & Beverage,15,559.84,2026-02-20,Yes,Uae
44,Jessica Suarez,Socks,Clothing,10,1131.16,2026-12-10,Yes,Canada
45,Jason Lee,Bookshelf,Furniture,5,300.69,2025-12-08,Yes,Canada
46,Megan Mccall,Bookshelf,Furniture,2,2186.02,2024-03-20,No,China
47,Michael Elliott,Bookshelf,Furniture,9,1065.11,2026-04-02,Yes,Italy
48,Aaron Hill Jr.,Dining Table,Furniture,3,1295.56,2024-06-10,Yes,Australia
49,Michael Willis,File Cabinet,Furniture,1,84.96,2026-03-16,Yes,Germany
50,Stephanie Lyons,Stapler,Stationery,14,2179.46,2025-04-28,Yes,United States
51,Ariel Alexander,Laptop,Electronics,8,523.17,2025-09-05,Yes,United States
52,Toni Olson,Bookshelf,Furniture,1,2000.16,2025-07-05,Yes,Australia
53,Robert Cobb,Coffee Beans,Food & Beverage,14,424.62,2024-12-24,Yes,Uk
54,Sue Parks,Monitor,Electronics,1,27.72,2026-03-10,Yes,Australia
55,Angela Parrish,Scarf,Clothing,13,1741.63,2025-10-07,Yes,Japan
56,Dr. John Webb,Bottled Water,Food & Beverage,7,1025.82,2026-10-07,No,France
57,Russell Singleton,Coffee Beans,Food & Beverage,13,1617.43,2024-01-16,No,Uk
58,Andrew Conway,Bed,Furniture,4,1515.49,2024-02-22,Yes,South Africa
59,Kayla Johnson,Keyboard,Electronics,12,2495.1,2024-07-10,Yes,Brazil
60,Dawn Barry,Smartphone,Electronics,6,2242.82,2024-02-05,No,Italy
61,Darlene Ortiz,Glue Stick,Stationery,3,1849.84,2025-12-04,Yes,Australia
62,Anna Richardson,Hat,Clothing,3,1211.31,2025-08-09,Yes,Japan
63,Joanne Ramsey,Laptop,Electronics,9,1952.07,2026-10-16,Yes,Singapore
64,George Nguyen,Stapler,Stationery,4,1346.03,2024-03-28,Yes,Argentina
65,Logan Ingram,Jacket,Clothing,2,1579.66,2026-03-09,No,Argentina
66,Brian Novak,Jacket,Clothing,6,1330.97,2024-06-15,No,Netherlands
67,April Koch,Pen,Stationery,3,57.91,2024-11-22,Yes,Australia
68,Dustin Patterson,Smartphone,Electronics,9,2390.96,2026-06-15,Yes,Netherlands
69,Veronica Pitts,Scarf,Clothing,8,355.59,2024-07-28,Yes,Germany
